,idx,parameter,ac1,ac2
150,150,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.24365,0.45381
151,151,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.24317,0.45762
152,152,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.23921,0.45444
153,153,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.23873,0.45825
154,154,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.23286,0.45460
155,155,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.23825,0.45810
156,156,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.23651,0.45540
157,157,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.24540,0.45794
158,158,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.23984,0.45619
159,159,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.23746,0.45889
160,160,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.24810,0.45571
161,161,"('Sarsa', 10000, 100, 1, 0.7, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.23127,0.45825
162,162,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.24413,0.45778
163,163,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.23984,0.45825
164,164,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.23889,0.45794
165,165,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.23968,0.45889
166,166,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.24333,0.46032
167,167,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.23460,0.45873
168,168,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.23873,0.45794
169,169,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.24254,0.45794
170,170,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.24159,0.45794
171,171,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.24508,0.45857
172,172,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.23127,0.46016
173,173,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.23984,0.45746
174,174,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.24413,0.45794
175,175,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.24317,0.45810
176,176,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.23698,0.45857
177,177,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.23952,0.45857
178,178,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.24349,0.45968
179,179,"('Sarsa', 10000, 100, 2, 0.3, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.24206,0.45841
180,180,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.23778,0.45778
181,181,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.24238,0.45810
182,182,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.23048,0.45825
183,183,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.23873,0.45921
184,184,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.24460,0.46048
185,185,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.24333,0.45778
186,186,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.22381,0.45794
187,187,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.24079,0.45794
188,188,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.24587,0.45794
189,189,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.24444,0.45825
190,190,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.24365,0.45937
191,191,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.24063,0.45794
192,192,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.24079,0.45794
193,193,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.22619,0.45810
194,194,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.23937,0.45825
195,195,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.23825,0.45873
196,196,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.24048,0.45873
197,197,"('Sarsa', 10000, 100, 2, 0.5, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.23619,0.45794
198,198,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.24651,0.45746
199,199,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.23540,0.45825
200,200,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.23873,0.45794
201,201,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.24000,0.45841
202,202,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.24413,0.45857
203,203,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.23222,0.45857
204,204,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.23762,0.45698
205,205,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.23794,0.45794
206,206,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.23603,0.45794
207,207,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.22857,0.45730
208,208,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.24921,0.45889
209,209,"('Sarsa', 10000, 100, 2, 0.7, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.22857,0.45841
